coords,edu_uni_closest_km,edu_uni_less500m,edu_uni_0.5-1km,edu_uni_1-3km,edu_uni_3-5km,edu_uni_5-10km,edu_uni_10-15km
"('55.7270229', '37.561437')",2.1791652618249224,0,0,1,0,1,0
"('55.727212', '37.583598')",2.59466740508917,0,0,1,0,1,0
"('55.748936', '37.595627')",0.614731539643386,0,1,0,1,0,1
"('55.747363', '37.594486')",0.6293922532738496,0,1,0,1,0,1
"('55.741465', '37.540784')",0.36384250694331,1,0,1,0,1,0
"('55.757131', '37.617114')",1.7053759474135748,0,0,1,0,1,0
"('55.720585', '37.567042')",2.9091327488643057,0,0,1,0,1,0
"('55.749847', '37.579815')",0.3707996595430724,1,0,1,0,1,0
"('55.7630905', '37.5930036')",1.4261695543392419,0,0,1,0,1,0
"('55.760955', '37.611446')",1.2835533184102457,0,0,1,0,1,0
"('55.744713', '37.5827')",0.6695383511470977,0,1,0,1,0,1
"('55.742534', '37.545465')",0.18323035458210396,1,0,1,0,1,0
"('55.765716', '37.59356')",1.4986638179672627,0,0,1,0,1,0
"('55.762485', '37.598887')",1.4659645190254942,0,0,1,0,1,0
"('55.725214', '37.578496')",2.849772323209867,0,0,1,0,1,0
"('55.744414', '37.594072')",0.846838223294826,0,1,0,1,0,1
"('55.7180332', '37.5737618')",3.2702372586408086,0,0,0,1,0,1
"('55.751933', '37.590075')",0.27085609132442645,1,0,1,0,1,0
"('55.75571', '37.600845')",1.0660830088870354,0,0,1,0,1,0
"('55.753407', '37.600082')",0.9150858261118703,0,1,0,1,0,1
"('55.758929', '37.645393')",0.5904215924908225,0,1,0,1,0,1
"('55.764121', '37.615416')",0.9208458294016735,0,1,0,1,0,1
"('55.75554', '37.594433')",0.7334163175904861,0,1,0,1,0,1
"('55.749603', '37.597872')",0.7349179089153202,0,1,0,1,0,1
"('55.754507', '37.602687')",1.1115354020231965,0,0,1,0,1,0
"('55.7557561', '37.6033112')",1.2045553243051452,0,0,1,0,1,0
"('55.755196', '37.592796')",0.6354295239153939,0,1,0,1,0,1
"('55.75768', '37.606674')",1.4927299552498128,0,0,1,0,1,0
"('55.754507', '37.602687')",1.1115354020231965,0,0,1,0,1,0
"('55.754753', '37.59622')",0.7636326755714439,0,1,0,1,0,1
"('55.759436', '37.605733')",1.537466197547037,0,0,1,0,1,0
"('55.812666', '37.640911')",1.2180842901905409,0,0,1,0,1,0
"('55.801455', '37.63765')",0.16435676593110243,1,0,1,0,1,0
"('55.812292', '37.653316')",1.5474572382040184,0,0,1,0,1,0
"('55.814062', '37.623735')",0.5009371666072944,0,1,0,1,0,1
"('55.816387', '37.656082')",1.0823793018622168,0,0,1,0,1,0
"('55.817613', '37.661859')",0.7600235720324695,0,1,0,1,0,1
"('55.8114519', '37.6453291')",1.2093035067364117,0,0,1,0,1,0
"('55.8064017', '37.6481266')",0.9354132418518565,0,1,0,1,0,1
"('55.813637', '37.645501')",1.4269221123769862,0,0,1,0,1,0
"('55.816328', '37.631379')",1.0015795197363666,0,0,1,0,1,0
"('55.8064017', '37.6481266')",0.9354132418518565,0,1,0,1,0,1
"('55.804612', '37.635503')",0.2681250398389271,1,0,1,0,1,0
"('55.812337', '37.658571')",1.3775110555696837,0,0,1,0,1,0
"('55.8134', '37.659847')",1.2364079881356278,0,0,1,0,1,0
"('55.815367', '37.659084')",1.06326713314849,0,0,1,0,1,0
"('55.806282', '37.640947')",0.5792431490401817,0,1,0,1,0,1
